id,plan,billing,model,model_display,vendor,label,price_usd,monthly_yi,real_usd_per_mtok,list_blended_usd_per_mtok,d,confidence,tier,source,note,arena_code__score,arena_code__variant,arena_agent_mode__score,arena_agent_mode__variant,aa_intelligence_index__score,aa_intelligence_index__variant,aa_coding_agent_index__score,aa_coding_agent_index__variant
cursor_ultra::grok-4.6,Cursor Ultra,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Ultra,200.0,64.2,0.03115,0.5519,0.0564,medium,main,截图两行中间值+官方2×；cursor-fast-round6-2026-09-05.json；cursor-adoption-round6-2026-09-06.json,100亿→64.2亿：(30.3×2+67.8)/2；旧链：口头100→截图67.8→round5恢复100→本次用户放弃100采用64.2。high→medium：中间值而非直接实测；64.2/30.3≈2.119，非严格2×；截图跨发布促销周，双倍额度/折扣混杂未剥离；旧100亿及截图冲突证据保留,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
cursor_ultra_fast::grok-4.6,Cursor Ultra (Fast),subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Ultra (Fast),200.0,30.3,0.06601,0.5519,0.1196,high,main,截图839.5M / 27.7%直接反推；round6用户确认维持,保持30.3亿；官方2×折回标准等效60.6亿，与标准截图67.8亿取中间值64.2亿；并非声称64.2/30.3严格等于2；截图跨促销周，保留混杂风险；见cursor-fast-round6-2026-09-05.json；与SuperGrok渠道分开,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
cursor_pro::grok-4.6,Cursor Pro,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Pro,20.0,4.7,0.04255,0.5519,0.0771,medium,main,Cursor 论坛面板：303.9M = 65% → 4.68 亿；另有用户口述 4~5 亿打满,保留独立面板采用4.7亿，不随Ultra中间值联动；池按compute cost计非raw token,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
cursor_pro_plus::grok-4.6,Cursor Pro+,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · Cursor Pro+,60.0,17.12,0.03505,0.5519,0.0635,medium,full,round3面板Pro+池约$800；round6用户确认按Ultra池$3000等比,18.1亿→17.12亿：64.2×800/3000；旧18.1亿基于Ultra67.8亿，现随标准中间值重算；仍采用$3000池假设，未采$3345或旧$2000替代池；促销周混杂未剥离；见cursor-adoption-round6-2026-09-06.json,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
kimi_allegretto_cn::kimi-k3,Kimi 会员 199,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · Kimi 会员 199,29.36,11.61,0.02529,0.4104,0.0616,medium,main,本机ccusage 243739068/约84%×4；kimi199-round5-swe17-2026-09-05.json,额度11.61亿不变，high→medium：占比为用户约数，样本以k3-256k为主且含kimi-for-coding，非纯K3 1M实测；SWE1.7找到V2EX/1235826短时面板，但模型/统计窗口不同，未替换基准；官方K3 1M约2×消耗，不据混合样本直接折半；ACP14.28为旧模型未采；《财经》95元/亿档位不明未采；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
kimi_moderato_cn::kimi-k3,Kimi 会员 99,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · Kimi 会员 99,14.6,2.32,0.06295,0.4104,0.1534,medium,full,199 档 × 4/20,保持2.32亿，继承199档K3-256K为主的混合负载估算，不是K3 1M纯模型实测；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
kimi_allegro_cn::kimi-k3,Kimi 会员 699,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · Kimi 会员 699,103.12,34.83,0.02961,0.4104,0.0721,medium,full,199 档 × 60/20,保持34.83亿，继承199档K3-256K为主的混合负载估算，不是K3 1M纯模型实测；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
glm_coding_lite_cn_new::glm-5.3,GLM Coding Lite (新客 ¥118),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Lite (新客 ¥118),17.41,2.9,0.06003,0.2993,0.2005,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 0.48～0.97 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_lite_cn_new::glm-5.3-flash,GLM Coding Lite (新客 ¥118),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Lite (新客 ¥118),17.41,8.76,0.01987,0.0343,0.58,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 1.46～2.92 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_lite_cn_old::glm-5.3,GLM Coding Lite (老客 ¥49),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Lite (老客 ¥49),7.23,2.9,0.02493,0.2993,0.0833,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 0.48～0.97 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_lite_cn_old::glm-5.3-flash,GLM Coding Lite (老客 ¥49),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Lite (老客 ¥49),7.23,8.76,0.00825,0.0343,0.2408,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 1.46～2.92 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_pro_cn_new::glm-5.3,GLM Coding Pro (新客 ¥538),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Pro (新客 ¥538),79.37,17.4,0.04561,0.2993,0.1524,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 2.9～5.8 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_pro_cn_new::glm-5.3-flash,GLM Coding Pro (新客 ¥538),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Pro (新客 ¥538),79.37,52.64,0.01508,0.0343,0.4402,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 8.77～17.55 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_pro_cn_old::glm-5.3,GLM Coding Pro (老客 ¥149),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Pro (老客 ¥149),21.98,17.4,0.01263,0.2993,0.0422,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 2.9～5.8 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_pro_cn_old::glm-5.3-flash,GLM Coding Pro (老客 ¥149),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Pro (老客 ¥149),21.98,52.64,0.00418,0.0343,0.122,high,main,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 8.77～17.55 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_max_cn_new::glm-5.3,GLM Coding Max (新客 ¥1078),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Max (新客 ¥1078),159.03,40.56,0.03921,0.2993,0.131,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 6.76～13.52 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_max_cn_new::glm-5.3-flash,GLM Coding Max (新客 ¥1078),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Max (新客 ¥1078),159.03,122.84,0.01295,0.0343,0.378,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 20.47～40.95 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
glm_coding_max_cn_old::glm-5.3,GLM Coding Max (老客 ¥469),subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · GLM Coding Max (老客 ¥469),69.19,40.56,0.01706,0.2993,0.057,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 6.76～13.52 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
glm_coding_max_cn_old::glm-5.3-flash,GLM Coding Max (老客 ¥469),subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · GLM Coding Max (老客 ¥469),69.19,122.84,0.00563,0.0343,0.1643,high,full,docs.bigmodel.cn 官方 95% 缓存表中位 ×4,官方周区间 20.47～40.95 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
minimax_token_plus_cn::minimax-m3,MiniMax Token Plan Plus,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Plus,7.23,6.0,0.01205,0.0692,0.1741,high,main,minimaxi.com/blog/minimax-m3 官方,汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_max_cn::minimax-m3,MiniMax Token Plan Max,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Max,17.55,18.0,0.00975,0.0692,0.1408,high,full,minimaxi.com/blog/minimax-m3 官方,汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_ultra_cn::minimax-m3,MiniMax Token Plan Ultra,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Ultra,69.19,71.0,0.00974,0.0692,0.1407,high,full,platform.minimaxi.com 迁移说明 2026-08-19,发布时 55 亿，迁移后 71 亿；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_plus_global::minimax-m3,MiniMax Token Plan Plus (Global),subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Plus (Global),22.0,17.0,0.01294,0.0692,0.1869,high,main,minimax.io/blog/minimax-m3 官方,发布时 $20，现价 $22，额度未见调整,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_max_global::minimax-m3,MiniMax Token Plan Max (Global),subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Max (Global),55.0,51.0,0.01078,0.0692,0.1557,high,full,minimax.io/blog/minimax-m3 官方,发布时 $50,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
minimax_token_ultra_global::minimax-m3,MiniMax Token Plan Ultra (Global),subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · MiniMax Token Plan Ultra (Global),132.0,98.0,0.01347,0.0692,0.1946,high,full,minimax.io/blog/minimax-m3 官方,发布时 $120,1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
aliyun_coding_pro_cn::qwen3.7-plus,阿里云百炼 Coding Plan Pro,subscription,qwen3.7-plus,Qwen3.7 Plus,Alibaba,Qwen3.7 Plus · 阿里云百炼 Coding Plan Pro,29.5,1.98,0.14901,0.0923,1.6144,medium,main,《财经》2026-08 实测 ¥101/亿,档位未写明，按 ¥200 Pro 折算；旧值 30 亿作废；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,,,-2.91,Qwen3.7 Plus,39,Qwen3.7 Plus,38.1218,Claude Code - Qwen3.7 Plus (thinking)
aliyun_coding_pro_global::qwen3.7-plus,Alibaba Cloud Coding Plan Pro,subscription,qwen3.7-plus,Qwen3.7 Plus,Alibaba,Qwen3.7 Plus · Alibaba Cloud Coding Plan Pro,50.0,1.98,0.25253,0.0923,2.7359,low,full,同 CN 档额度,,,,-2.91,Qwen3.7 Plus,39,Qwen3.7 Plus,38.1218,Claude Code - Qwen3.7 Plus (thinking)
opencode_go::grok-4.6,OpenCode Go,subscription,grok-4.6,Grok 4.6,xAI,Grok 4.6 · OpenCode Go,10.0,0.272,0.36765,0.5519,0.6661,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.279亿（请求估算）→0.272亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；≤200K 标价；>200K 价翻倍，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
opencode_go::gpt-5.6-luna,OpenCode Go,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · OpenCode Go,10.0,5.344,0.01871,0.0281,0.6666,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧5.25亿（请求估算）→5.344亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；≤272K 标价；>272K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1519,gpt-5.6-luna-xhigh (codex-harness),2.15,GPT 5.6 Luna (xHigh),52,GPT-5.6 Luna (max),57.1661,Codex - GPT-5.6 Luna (max)
opencode_go::glm-5.3-flash,OpenCode Go,subscription,glm-5.3-flash,GLM 5.3 Flash,Zhipu,GLM 5.3 Flash · OpenCode Go,10.0,4.378,0.02284,0.0343,0.6667,high,main,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.44亿（请求估算）→4.378亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1605,glm-5.3-flash,4.03,GLM 5.3 Flash,57,GLM-5.3-Flash,,
opencode_go::glm-5.3,OpenCode Go,subscription,glm-5.3,GLM 5.3,Zhipu,GLM 5.3 · OpenCode Go,10.0,0.501,0.1996,0.2993,0.6668,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.571亿（请求估算）→0.501亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1609,glm-5.3-max,3.74,GLM 5.3 (Max),60,GLM-5.3 (max),,
opencode_go::glm-5.2,OpenCode Go,subscription,glm-5.2,GLM 5.2,Zhipu,GLM 5.2 · OpenCode Go,10.0,2.004,0.0499,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增2.004亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::glm-5.1,OpenCode Go,subscription,glm-5.1,GLM 5.1,Zhipu,GLM 5.1 · OpenCode Go,10.0,2.004,0.0499,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增2.004亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::kimi-k3,OpenCode Go,subscription,kimi-k3,Kimi K3,Kimi,Kimi K3 · OpenCode Go,10.0,0.365,0.27397,0.4104,0.6675,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧0.381亿（请求估算）→0.365亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1674,kimi-k3-max,8.71,Kimi K3 (Max),60,Kimi K3 (max),62.6388,Kimi Code CLI - Kimi K3
opencode_go::kimi-k2.7-code,OpenCode Go,subscription,kimi-k2.7-code,Kimi K2.7 Code,Kimi,Kimi K2.7 Code · OpenCode Go,10.0,2.728,0.03666,0.2199,0.1667,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧3.785亿（请求估算）→2.728亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1472,kimi-k2.7-code,1.24,Kimi K2.7 Code,43,Kimi K2.7 Code,,
opencode_go::kimi-k2.6,OpenCode Go,subscription,kimi-k2.6,Kimi K2.6,Kimi,Kimi K2.6 · OpenCode Go,10.0,3.147,0.03178,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增3.147亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::longcat-2.0,OpenCode Go,subscription,longcat-2.0,LongCat 2.0,Meituan,LongCat 2.0 · OpenCode Go,10.0,36.17,0.00276,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增36.17亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::mimo-v2.5,OpenCode Go,subscription,mimo-v2.5,MiMo V2.5,Xiaomi,MiMo V2.5 · OpenCode Go,10.0,88.852,0.00113,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增88.852亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::mimo-v2.5-pro,OpenCode Go,subscription,mimo-v2.5-pro,MiMo V2.5 Pro,Xiaomi,MiMo V2.5 Pro · OpenCode Go,10.0,9.355,0.01069,0.2272,0.047,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧14.196亿（请求估算）→9.355亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1475,mimo-v2.5-pro,-3.57,Mimo V2.5 Pro,43,MiMo-V2.5-Pro,,
